2008-01-23, 273749.06
2008-01-24, 188723.17
2008-01-25, 205279.97
2008-01-28, 179114.25
2008-01-29, 110390.32
2008-01-30, 156998.12
2008-01-31, 75427.13
2008-02-01, 157289.59
2008-02-04, 199807.14
2008-02-05, 94025.09
2008-02-13, 104410.45
2008-02-14, 78363.27
2008-02-15, 77576.31
2008-02-18, 86267.06
2008-02-19, 115281.42
2008-02-20, 79900.74
2008-02-21, 92885.59
2008-02-22, 86661.53
2008-02-25, 82083.89
2008-02-26, 114579.45
2008-02-27, 141472.77
2008-02-28, 79241.72
2008-02-29, 88092.20
2008-03-03, 221882.11
2008-03-04, 186932.14
2008-03-06, 424958.09
2008-03-07, 392418.62
2008-03-10, 175797.64
2008-03-11, 132432.39
2008-03-12, 176606.12
2008-03-13, 153960.25
2008-03-14, 125424.34
2008-03-17, 139365.06
2008-03-18, 172532.42
2008-03-19, 307706.97
2008-03-20, 230660.50
2008-03-21, 189296.17
2008-03-24, 265402.97
2008-03-25, 255074.17
2008-03-26, 208340.14
2008-03-27, 137362.28
2008-03-28, 348995.34
2008-03-31, 237231.84
2008-04-01, 226540.19
2008-04-02, 460146.62
2008-04-03, 228010.30
2008-04-07, 318936.53
2008-04-08, 226043.62
2008-04-09, 177751.64
2008-04-10, 143948.41
2008-04-11, 96113.25
2008-04-14, 216721.88
2008-04-15, 145304.47
2008-04-16, 66396.52
2008-04-17, 208806.98
2008-04-18, 202333.34
2008-04-21, 335147.66
2008-04-22, 134260.53
2008-04-23, 262352.59
2008-04-24, 632912.25
2008-04-25, 515693.53
2008-04-28, 199271.22
2008-04-29, 142318.62
2008-04-30, 431980.69
2008-05-05, 246202.67
2008-05-06, 144996.00
2008-05-07, 367239.97
2008-05-08, 175742.78
2008-05-09, 259058.77
2008-05-12, 138796.88
2008-05-14, 253560.06
2008-05-15, 124275.89
2008-05-16, 86721.54
2008-05-19, 83727.95
2008-05-20, 119856.76
2008-05-21, 123209.87
2008-05-22, 73126.23
2008-05-23, 53481.21
2008-05-26, 93885.51
2008-05-27, 71555.20
2008-05-28, 104106.00
2008-05-29, 60080.02
2008-05-30, 115341.05
2008-06-02, 89747.70
2008-06-03, 64847.94
2008-06-04, 68700.80
2008-06-05, 41176.19
2008-06-06, 41588.87
2008-06-10, 124014.32
2008-06-11, 67321.31
2008-06-12, 80847.26
2008-06-13, 47047.33
2008-06-16, 88164.27
2008-06-17, 60497.36
2008-06-18, 155219.34
2008-06-19, 99499.91
2008-06-20, 180607.50
2008-06-23, 67384.36
2008-06-24, 98056.58
2008-06-25, 99749.81
2008-06-26, 100149.23
2008-06-27, 100211.59
2008-06-30, 78811.51
2008-07-01, 99028.98
2008-07-02, 206786.80
2008-07-03, 440740.25
2008-07-04, 118136.24
2008-07-07, 142344.08
2008-07-08, 202735.89
2008-07-09, 274515.75
2008-07-10, 221534.20
2008-07-11, 117071.92
2008-07-14, 80893.90
2008-07-15, 125414.92
2008-07-16, 78531.91
2008-07-18, 113409.05
2008-07-21, 154021.09
2008-07-22, 103233.09
2008-07-23, 167327.77
2008-07-24, 233791.52
2008-07-25, 135272.48
2008-07-28, 140679.70
2008-07-29, 73549.07
2008-07-30, 52778.06
2008-07-31, 57391.74
2008-08-01, 81576.26
2008-08-04, 49960.48
2008-08-05, 94811.54
2008-08-06, 102012.66
2008-08-07, 75766.17
2008-08-08, 77583.07
2008-08-11, 76930.74
2008-08-12, 49436.26
2008-08-13, 54428.86
2008-08-14, 35568.53
2008-08-15, 33743.23
2008-08-18, 62628.35
2008-08-19, 47682.51
2008-08-20, 129711.56
2008-08-21, 78540.93
2008-08-22, 39152.54
2008-08-25, 52258.98
2008-08-26, 51800.11
2008-08-27, 112711.38
2008-08-28, 93804.72
2008-08-29, 88843.54
2008-09-01, 63041.27
2008-09-02, 46270.83
2008-09-03, 53256.87
2008-09-04, 52391.59
2008-09-05, 51272.21
2008-09-08, 80966.99
2008-09-09, 48206.87
2008-09-10, 52913.49
2008-09-11, 67837.16
2008-09-12, 59032.10
2008-09-16, 116985.40
2008-09-17, 113728.20
2008-09-18, 143137.05
2008-09-19, 70993.22
2008-09-22, 263761.06
2008-09-23, 184526.00
2008-09-24, 112385.10
2008-09-25, 296520.22
